year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36047025800,9.3,8.7,9.9,4597,"
,  
(40.6132883891, -73.987409817)",36047025800,047,Brooklyn,025800
2017,3651000-36005014500,12.9,12.1,13.8,5816,"
,  
(40.8315110082, -73.9070315923)",36005014500,005,Bronx,014500
2017,3651000-36061026900,9.3,8.7,9.9,8428,"
,  
(40.8505567726, -73.9309744462)",36061026900,061,Manhattan,026900
2017,3651000-36081025302,8.2,7.7,8.7,2876,"
,  
(40.7442222453, -73.9131446589)",36081025302,081,Queens,025302
2017,3651000-36081064101,8.5,8,9,1960,"
,  
(40.6991149335, -73.8517619644)",36081064101,081,Queens,064101
2017,3651000-36081044000,12,11.2,13,3669,"
,  
(40.7026744017, -73.7846246448)",36081044000,081,Queens,044000
2017,3651000-36061001600,7.3,6.7,7.9,8478,"
,  
(40.7159479588, -73.9932822262)",36061001600,061,Manhattan,001600
2017,3651000-36005024800,9.3,8.9,9.7,3363,"
,  
(40.8553409525, -73.8584096979)",36005024800,005,Bronx,024800
2017,3651000-36081115500,7.8,7.4,8.2,2114,"
,  
(40.7678352639, -73.8117934947)",36081115500,081,Queens,115500
2017,3651000-36081060800,11.7,10.8,12.5,1413,"
,  
(40.6936036743, -73.7413143495)",36081060800,081,Queens,060800
2017,3651000-36081044602,9.8,9.3,10.4,4596,"
,  
(40.7081885855, -73.7998509766)",36081044602,081,Queens,044602
2017,3651000-36081020600,11.4,10.9,11.9,1712,"
,  
(40.694375964, -73.8093653539)",36081020600,081,Queens,020600
2017,3651000-36081093900,8.1,7.7,8.5,4400,"
,  
(40.795813553, -73.8426878772)",36081093900,081,Queens,093900
2017,3651000-36081083800,9.7,9.3,10.1,4970,"
,  
(40.670295044, -73.8195098421)",36081083800,081,Queens,083800
2017,3651000-36047011000,8.9,8.4,9.4,2441,"
,  
(40.6445788861, -73.9927738103)",36047011000,047,Brooklyn,011000
2017,3651000-36047014000,9.1,8.5,9.9,1826,"
,  
(40.6207738473, -74.0196671944)",36047014000,047,Brooklyn,014000
2017,3651000-36047063600,8.6,8.2,9.1,1236,"
,  
(40.6099355357, -73.9361433201)",36047063600,047,Brooklyn,063600
2017,3651000-36081028200,11.6,10.8,12.5,1545,"
,  
(40.6849853644, -73.7738831628)",36081028200,081,Queens,028200
2017,3651000-36047055800,9.1,8.6,9.8,2390,"
,  
(40.6036536478, -73.9553779161)",36047055800,047,Brooklyn,055800
2017,3651000-36047074200,11,10.4,11.6,3292,"
,  
(40.626994397, -73.9449753183)",36047074200,047,Brooklyn,074200
2017,3651000-36047027600,9,8.5,9.4,3694,"
,  
(40.610896456, -73.9994889695)",36047027600,047,Brooklyn,027600
2017,3651000-36081009700,8.3,7.8,8.9,3580,"
,  
(40.7764819551, -73.9186027756)",36081009700,081,Queens,009700
2017,3651000-36047057100,9.3,8.6,10.2,4400,"
,  
(40.7247836548, -73.9476187484)",36047057100,047,Brooklyn,057100
2017,3651000-36047016200,8.4,8,8.8,2082,"
,  
(40.6132206914, -74.0313279171)",36047016200,047,Brooklyn,016200
2017,3651000-36005007900,11.6,10.8,12.4,6733,"
,  
(40.8157920244, -73.9048713188)",36005007900,005,Bronx,007900
2017,3651000-36047072200,11.9,11.1,12.8,2655,"
,  
(40.6319998567, -73.9243886214)",36047072200,047,Brooklyn,072200
2017,3651000-36005036800,12.9,12,13.8,2011,"
,  
(40.8753071736, -73.8559420387)",36005036800,005,Bronx,036800
2017,3651000-36081047200,8.9,8.5,9.4,3760,"
,  
(40.7176220201, -73.778935806)",36081047200,081,Queens,047200
2017,3651000-36061008900,8.3,7.9,8.9,5708,"
,  
(40.7446380371, -74.0026785836)",36061008900,061,Manhattan,008900
2017,3651000-36081008100,8.3,7.8,8.8,1188,"
,  
(40.7700664903, -73.9335768127)",36081008100,081,Queens,008100
2017,3651000-36047099600,11.9,11,12.8,3631,"
,  
(40.6334438054, -73.9077877954)",36047099600,047,Brooklyn,099600
2017,3651000-36047119200,10.6,10.1,11.2,3013,"
,  
(40.6771156779, -73.8781551942)",36047119200,047,Brooklyn,119200
2017,3651000-36085014605,8.9,8.5,9.5,3836,"
,  
(40.5586986984, -74.1501225392)",36085014605,085,Staten Island,014605
2017,3651000-36061007900,8,7.7,8.5,4442,"
,  
(40.7395238647, -74.0122365884)",36061007900,061,Manhattan,007900
2017,3651000-36047024100,10,9.3,10.7,2229,"
,  
(40.6922220865, -73.9538034789)",36047024100,047,Brooklyn,024100
2017,3651000-36081049302,8.6,8.2,9.1,2811,"
,  
(40.7278523547, -73.8917864401)",36081049302,081,Queens,049302
2017,3651000-36081001200,8.7,8.3,9.2,3871,"
,  
(40.6942783932, -73.8608412117)",36081001200,081,Queens,001200
